@RELATION ParaPhrase
@ATTRIBUTE plainWordSimilarity1  NUMERIC
@ATTRIBUTE plainWordSimilarity2  NUMERIC
@ATTRIBUTE plainWordSimilarityF  NUMERIC
@ATTRIBUTE stemWordSimilairty1  NUMERIC
@ATTRIBUTE stemWordSimilairty2  NUMERIC
@ATTRIBUTE stemWordSimilairtyF  NUMERIC
@ATTRIBUTE deltaSenLen  NUMERIC
@ATTRIBUTE oldUnigram1  NUMERIC
@ATTRIBUTE oldUnigram2  NUMERIC
@ATTRIBUTE unigram1  NUMERIC
@ATTRIBUTE unigram2  NUMERIC
@ATTRIBUTE bigram1  NUMERIC
@ATTRIBUTE bigram2  NUMERIC
@ATTRIBUTE bigramF  NUMERIC
@ATTRIBUTE wordLevelLCS1 NUMERIC
@ATTRIBUTE wordLevelLCS2 NUMERIC
@ATTRIBUTE skipGram1 NUMERIC
@ATTRIBUTE skipGram2 NUMERIC
@ATTRIBUTE PNNCount1 NUMERIC
@ATTRIBUTE PNNCount2 NUMERIC
@ATTRIBUTE SynonymCount1 NUMERIC
@ATTRIBUTE SynonymCount2 NUMERIC
@ATTRIBUTE POSBigram1 NUMERIC
@ATTRIBUTE POSBigram2 NUMERIC
@ATTRIBUTE POSSkipGram1 NUMERIC
@ATTRIBUTE POSSkipGram2 NUMERIC
@ATTRIBUTE PositivePol1 NUMERIC
@ATTRIBUTE NegativePol1 NUMERIC
@ATTRIBUTE PositivePol2 NUMERIC
@ATTRIBUTE NegativePol2 NUMERIC
@ATTRIBUTE IntelligentSVO NUMERIC
@ATTRIBUTE SVOAgreement2 NUMERIC
@ATTRIBUTE trigramFeature1 NUMERIC
@ATTRIBUTE trigramFeature2 NUMERIC
@ATTRIBUTE polarityDistance NUMERIC
@ATTRIBUTE CompletepolarityDistance NUMERIC
@ATTRIBUTE POSTrigram1 NUMERIC
@ATTRIBUTE POSTrigram2 NUMERIC
@ATTRIBUTE nGram1 NUMERIC
@ATTRIBUTE nGram2 NUMERIC
@ATTRIBUTE class {0,1}
@DATA
0.913194,0.913194,0.916407,0.625,0.625,0.666667,0.125,0.714286,0.625,0.625,0.625,0.615385,0.533333,0.571429,0.571429,0.5,0.283582,0.191092,0.285714,0.25,0.1875 , 0.214285714286,0.642857,0.625,0.659341,0.583333,0.54295689802460068,0.45704310197539899,0.47554849909659186,0.52445150090340809,3,3,0.333333,0.285714,0.0953299,0.0953378,0.5,0.470588,3.3125,3.3125,1
0.786508,0.786508,0.778158,0.444444,0.444444,0.56338,0.222222,0.533333,0.526316,0.333333,0.444444,0.142857,0.111111,0.125,0.4,0.315789,0.146087,0.0724763,0.0714286,0.0555556,0.0555555555556 , 0.0714285714286,0.6875,0.761905,0.461538,0.411765,0.46898770255549371,0.5310122974445064,0.47417888079230641,0.52582111920769337,1,0,0,0,0.00734143,0.198728,0.571429,0.526316,2.57895,2.57895,0
0.884568,0.884568,0.898989,0.666667,0.666667,0.693333,0,0.666667,0.722222,0.666667,0.722222,0.588235,0.588235,0.588235,0.5,0.5,0.203647,0.203647,0.260494,0.260494,0.277777777778 , 0.286375661376,0.666667,0.578947,0.75817,0.607843,0.73123730594180403,0.26876269405819542,0.61131969201520853,0.38868030798479203,2,2,0.3125,0.3125,0.169589,0.253157,0.5,0.421053,3.72222,3.72222,1
0.598186,0.598186,0.789804,0.47619,0.47619,0.555556,0.285714,0.541667,0.705882,0.47619,0.47619,0.304348,0.4375,0.358974,0.458333,0.647059,0.115318,0.321729,0.142857,0.2,0.2 , 0.142857142857,0.416667,0.470588,0.652381,0.52381,0.64432381154905527,0.35567618845094473,0.65457135398872124,0.34542864601127787,0,0,0.0909091,0.133333,0.0144922,0.0176131,0.269231,0.352941,2.04167,2.04167,0
0.781955,0.781955,0.786492,0.578947,0.578947,0.551378,0,0.571429,0.52381,0.473684,0.421053,0.3,0.3,0.3,0.428571,0.428571,0.0960922,0.0960922,0.22406,0.236508,0.17094017094 , 0.214574898785,0.619048,0.7,0.748538,0.75817,0.81886684407894816,0.18113315592105225,0.58240335831325529,0.4175966416867446,0,0,0.210526,0.210526,0.33441,0.674788,0.333333,0.388889,4.2381,4.2381,1
0.839782,0.839782,0.912915,0.708333,0.708333,0.836066,0.25,0.944444,0.75,0.708333,0.75,0.882353,0.652174,0.75,0.944444,0.708333,0.962513,0.408778,0.418651,0.313988,0.378472222222 , 0.5,0.944444,0.72,1,0.916667,0.31589141408605581,0.68410858591394264,0.31520161484781245,0.68479838515218583,0,0,0.875,0.636364,0.000975523,0.00935889,1,0.625,6.08333,6.08333,1
0.514583,0.514583,0.682347,0.3125,0.3125,0.344828,0.1875,0.368421,0.4375,0.25,0.25,0.166667,0.0666667,0.0952381,0.368421,0.4375,0.0543572,0.0905172,0.0892857,0.10989,0.0769230769231 , 0.0709841628959,0.0625,0.25,0.433333,0.846154,0.65509884021792353,0.34490115978207603,0.72451840180083049,0.2754815981991689,0,0,0,0,0.0981741,0.488245,0,0,1,1,0
0.863636,0.863636,0.863961,0.545455,0.545455,0.6,0.181818,0.666667,0.5,0.545455,0.545455,0.25,0.363636,0.296296,0.666667,0.5,0.317829,0.137584,0.527778,0.431818,0.109644522145 , 0.119658119658,0.444444,0.636364,0.694444,0.672727,0.53150852661854997,0.46849147338144981,0.47212207839875747,0.52787792160124181,0,0,0,0,0.0839851,0.0953895,0,0,1.83333,1.83333,1
0.728643,0.728643,0.703354,0.285714,0.285714,0.285714,0,0.266667,0.285714,0.285714,0.285714,0.214286,0.230769,0.222222,0.266667,0.285714,0.0243478,0.0298507,0.112245,0.112245,0 , 0,0.466667,0.6,0.549451,0.384615,0.31824754060808635,0.68175245939191265,0.49787114196536619,0.50212885803463303,0,0,0.153846,0.166667,0.254026,0.26968,0.2,0.307692,1,1,0
0.775641,0.775641,0.892061,0.538462,0.538462,0.583333,0.153846,0.538462,0.636364,0.538462,0.538462,0.416667,0.5,0.454545,0.538462,0.636364,0.167109,0.272727,0.384615,0.454545,0.363636363636 , 0.307692307692,0.6,0.727273,0.589744,0.509091,0.77583489315453469,0.22416510684546415,0.62122459820278975,0.37877540179720942,0,0,0.181818,0.222222,0.218652,0.288097,0.461538,0.6,4.23077,4.23077,1
