1147 3
0.157895 0.176471 1
0.733333 0.846154 1
3.32143 4.42857 1
1.22222 1.1 1
0.65 0.65 1
1.10526 0.75 1
0.315789 0.333333 1
0.4 0.285714 1
0.705882 0.6 1
1.35714 1.52 1
1.36364 1.15385 1
2.75 2.27586 1
4.28 4.28 1
6 6 1
2.5 1.95652 1
2.15385 2 1
1.8 1.8 1
4.55556 4.39286 1
1.3125 1.10526 1
0.592593 0.592593 1
2.63158 2 1
2.55172 3.7 1
0 0 1
0.307692 0.25 1
2.6875 1.86957 1
4.125 3.14286 1
3.47368 4.4 1
1.45 1.8125 1
0.272727 0.375 1
1.7037 2 1
3.88235 2.75 1
0.0588235 0.0714286 1
7.65 6.12 1
0.222222 0.210526 1
0.181818 0.153846 1
0.809524 0.894737 1
0.434783 0.555556 1
0.307692 0.285714 1
1.80952 1.80952 1
0.230769 0.272727 1
2 1.9 1
2.71429 3.16667 1
0.3 0.3 1
3.22222 3.48 1
1.25 1.875 1
4 3.83333 1
1.16667 1.47368 1
2.61905 2.2 1
0.307692 0.235294 1
1.58824 1.6875 1
4.2 5.83333 1
2.4 2.66667 1
3.79167 3.79167 1
0.708333 0.894737 1
4.11538 4.86364 1
0.0588235 0.0526316 1
1.29167 1.34783 1
1.75 2.15385 1
0.25 0.333333 1
1.72 1.65385 1
0.1 0.0909091 1
0 0 1
3.6 2.57143 1
0.363636 0.285714 1
0.4375 0.304348 1
1.69565 1.625 1
6.95455 5.66667 1
1.44444 1.625 1
0.6 0.428571 1
0.714286 0.625 1
2.94737 2.43478 1
0.2 0.230769 1
1.29167 1.47619 1
0.625 0.47619 1
1.95455 1.79167 1
1 0.789474 1
1.41176 1.84615 1
4.7 3.91667 1
2.13636 2.13636 1
3.73333 2.8 1
0.944444 0.708333 1
1.63636 1.8 1
1.5 1.2 1
0.470588 0.470588 1
0.636364 0.4375 1
1 0.857143 1
6.24 5.03226 1
1.2381 1.3 1
0.714286 0.882353 1
1.27273 1.55556 1
0.625 0.769231 1
0.538462 0.583333 1
0.363636 0.285714 1
0.3 0.428571 1
2.9 3.41176 1
1.30769 1.30769 1
2.23529 2 1
0.307692 0.363636 1
0.85 0.73913 1
1 1.04762 1
5.32 4.58621 1
2 1.91667 1
2.42105 2.70588 1
0.769231 1.11111 1
0.576923 0.652174 1
0 0 1
2.5 2.64706 1
1.44 1.28571 1
0.578947 0.846154 1
2.83333 2.68421 1
0.894737 1 1
0.315789 0.4 1
1.45455 1.33333 1
3.31034 3.42857 1
0.884615 0.958333 1
1.15 0.958333 1
1.5 1.10526 1
3.22222 3.05263 1
3.375 2.89286 1
3.35714 3.48148 1
0.2 0.230769 1
1.52632 1.38095 1
1.34783 1.9375 1
0.0714286 0.0833333 1
0.818182 1.125 1
0.142857 0.117647 1
5.89655 7.125 1
0.4375 0.636364 1
2.64 2.53846 1
2.82609 2.40741 1
2.23077 2.63636 1
1.94737 1.7619 1
1.24 1.14815 1
0.407407 0.52381 1
0.421053 0.5 1
1.125 1.42105 1
2.94737 3.73333 1
0.782609 1.05882 1
1.07143 1.5 1
2.42105 2.55556 1
5.26087 4.17241 1
0.6875 0.647059 1
0.375 0.375 1
1.5 1.22727 1
1.45455 1 1
0.944444 0.894737 1
2.5 2.04545 1
1.26667 0.863636 1
1.76923 1.53333 1
0.0714286 0.111111 1
0.857143 0.857143 1
0.266667 0.285714 1
2.95833 2.95833 1
0.0555556 0.0666667 1
0.230769 0.166667 1
0.363636 0.5 1
0.285714 0.307692 1
0.772727 0.85 1
1.95652 1.66667 1
0 0 1
0.777778 0.933333 1
2.60714 2.7037 1
2.15385 2.07407 1
0 0 1
2.57143 2.76923 1
2 1.72727 1
1 1.2 1
2.16667 1.5 1
1.61538 1.55556 1
2.44444 1.83333 1
0.25 0.333333 1
3.5 3.11111 1
0.5 0.666667 1
0.882353 0.882353 1
2.66667 2.54545 1
0.571429 0.470588 1
2.14286 3.21429 1
3.85714 4.05 1
0.5 0.55 1
2.07143 1.61111 1
1.88889 1.61905 1
0.125 0.153846 1
0.2 0.157895 1
1.67742 1.67742 1
2.72414 3.16 1
1.73684 1.83333 1
1.04545 1 1
3.66667 3.88235 1
2.65217 2.77273 1
1 0.714286 1
1.47368 1.4 1
8.05263 5.66667 1
0.0416667 0.037037 1
0.133333 0.111111 1
0.625 0.625 1
0.5 0.705882 1
2.92593 2.92593 1
1.61538 1.61538 1
2.15 1.86957 1
4.03846 4.56522 1
0.590909 0.8125 1
0.769231 1.25 1
1.41176 0.96 1
0.944444 0.944444 1
0.5 0.388889 1
1.7619 1.32143 1
3.4375 3.4375 1
0.571429 0.615385 1
0.782609 0.818182 1
0.125 0.153846 1
2.16 2.07692 1
1.85714 1.85714 1
1.19048 1.31579 1
1.58333 1.40741 1
0.894737 0.772727 1
0.428571 0.5 1
0.0769231 0.1 1
1.26667 1.1875 1
2.4375 2.4375 1
2.57143 3.13043 1
1 0.714286 1
4.65385 6.72222 1
0.25 0.230769 1
1.3125 1.3125 1
2.31034 3.19048 1
2.48 3.44444 1
0.916667 0.88 1
1.03448 1.42857 1
2.38462 2.48 1
5.05556 4.13636 1
0.625 0.555556 1
0.153846 0.181818 1
2.42105 3.53846 1
0.611111 0.785714 1
1.11111 1.66667 1
1.41379 1.46429 1
2.8 3.33333 1
0.769231 0.526316 1
3.14286 2.44444 1
0.518519 0.608696 1
0.555556 0.454545 1
0.909091 0.833333 1
