4076 3
1 0.875 1
0.133333 0.105263 -1
1.05556 1.05556 1
0.375 0.529412 -1
0.714286 0.714286 1
6.66667 5 1
0.0526316 0.0625 -1
0.222222 0.166667 1
0.4 0.428571 -1
0.461538 0.545455 1
4.44444 2.96296 -1
5.10526 3.73077 -1
0.214286 0.214286 -1
4.9375 3.7619 1
4.82609 4.625 1
1.26667 0.95 -1
0.384615 0.263158 -1
2.30769 2.85714 -1
1.5 1.36364 -1
2.91667 2.59259 1
3.95652 5.6875 -1
2.7619 2.7619 1
1.07692 1.03704 1
0.454545 0.333333 1
0.4 0.25 -1
1.42308 1.32143 -1
0.789474 0.75 1
0.333333 0.428571 1
2.66667 3.5 1
0.388889 0.333333 -1
1.27273 1.75 -1
0.176471 0.130435 1
0.357143 0.277778 1
1.83333 1.29412 -1
1.25 1.66667 1
0.214286 0.1875 1
0 0 -1
0.8 0.75 1
2.3125 2.05556 1
0.461538 0.666667 1
1.23077 1.10345 1
0.5 0.6 -1
1.33333 1.64706 1
0.181818 0.2 -1
0.85 0.653846 1
2.57143 2.34783 1
1 1.47059 -1
0.214286 0.157895 1
3.8 3.16667 1
3.42857 3.13043 1
0.529412 0.409091 1
0.2 0.230769 1
6.375 6.65217 1
0.157895 0.230769 1
0.619048 0.684211 -1
0.809524 0.73913 1
4.56522 4.56522 1
0.272727 0.166667 -1
0.823529 1.16667 1
2.2963 2.38462 1
2.05263 1.44444 -1
0.333333 0.235294 -1
0.363636 0.266667 -1
0.833333 0.833333 1
0.235294 0.190476 -1
2.76923 1.56522 -1
1.13636 1.38889 1
0.666667 0.833333 1
0.916667 0.846154 1
0.916667 0.733333 1
0.766667 1 -1
2 2 1
1.46154 1.46154 1
0.529412 0.6 1
0.909091 0.833333 1
3.2381 3.2381 1
3.72222 2.68 1
4.66667 3.81818 1
3.81481 3.67857 1
10.2222 9.2 1
0.571429 0.695652 1
1 0.75 -1
0.916667 1.04762 1
1 0.6875 -1
0.4 0.4 -1
0.846154 0.785714 1
0.68 0.653846 1
4.10526 3.71429 1
2.33333 2.33333 1
0.5 0.416667 1
0.555556 0.714286 -1
0.533333 0.444444 -1
